t*,z*,uz
1e-05,0.0,-0.000730418523490841
1e-05,0.05,-0.000690412995593319
1e-05,0.1,-0.00065407547095559
1e-05,0.15,-0.000617737945053815
1e-05,0.2,-0.000581400418962628
1e-05,0.25,-0.000545062892816663
1e-05,0.3,-0.000508725366649143
1e-05,0.35,-0.000472387840471452
1e-05,0.4,-0.000436050314288347
1e-05,0.45,-0.0003997127881021
1e-05,0.5,-0.000363375261913909
1e-05,0.55,-0.000327037735724454
1e-05,0.6,-0.000290700209534147
1e-05,0.65,-0.000254362683343247
1e-05,0.7,-0.000218025157151926
1e-05,0.75,-0.000181687630960304
1e-05,0.8,-0.000145350104768463
1e-05,0.85,-0.000109012578576468
1e-05,0.9,-7.26750523843671e-5
1e-05,0.95,-3.63375261921996e-5
1e-05,1.0,-3.85848799255537e-21
0.001,0.0,-0.000764712029996185
0.001,0.05,-0.000707894072224717
0.001,0.1,-0.000660841856782385
0.001,0.15,-0.000620081655953087
0.001,0.2,-0.000582314629244548
0.001,0.25,-0.000545605425090413
0.001,0.3,-0.000509173800261794
0.001,0.35,-0.000472796225261288
0.001,0.4,-0.00043642645487315
0.001,0.45,-0.000400057519615234
0.001,0.5,-0.000363688650529714
0.001,0.55,-0.000327319785322896
0.001,0.6,-0.000290950920283431
0.001,0.65,-0.000254582055248759
0.001,0.7,-0.000218213190213794
0.001,0.75,-0.000181844325178527
0.001,0.8,-0.000145475460143043
0.001,0.85,-0.000109106595107403
0.001,0.9,-7.27377300716571e-5
0.001,0.95,-3.63688650358446e-5
0.001,1.0,1.55735605650527e-20
0.01,0.0,-0.000852892096224289
0.01,0.05,-0.000791450413945815
0.01,0.1,-0.00073370322069227
0.01,0.15,-0.00067952282655802
0.01,0.2,-0.000628625225481451
0.01,0.25,-0.00058065979458787
0.01,0.3,-0.000535235330585683
0.01,0.35,-0.000491946798215341
0.01,0.4,-0.000450399634479443
0.01,0.45,-0.000410229241357274
0.01,0.5,-0.000371114362040274
0.01,0.55,-0.00033278412146052
0.01,0.6,-0.000295019411181047
0.01,0.65,-0.000257649884147471
0.01,0.7,-0.000220548063673297
0.01,0.75,-0.000183622010234909
0.01,0.8,-0.00014680772380686
0.01,0.85,-0.000110062095602508
0.01,0.9,-7.33568525542614e-5
0.01,0.95,-3.66736210231143e-5
0.01,1.0,1.92857973772993e-20
0.05,0.0,-0.00104088712910053
0.05,0.05,-0.000974940518637082
0.05,0.1,-0.000910881984759813
0.05,0.15,-0.000848734861478062
0.05,0.2,-0.000788439501996462
0.05,0.25,-0.000729927527705844
0.05,0.3,-0.000673122295610298
0.05,0.35,-0.000617939460754289
0.05,0.4,-0.000564287614433212
0.05,0.45,-0.000512068976071489
0.05,0.5,-0.000461180115599468
0.05,0.55,-0.00041151268335264
0.05,0.6,-0.00036295412589079
0.05,0.65,-0.000315388368595411
0.05,0.7,-0.000268696449300467
0.05,0.75,-0.000222757091344277
0.05,0.8,-0.000177447209060428
0.05,0.85,-0.000132642343589324
0.05,0.9,-8.8217031715082e-5
0.05,0.95,-4.40451149450147e-5
0.05,1.0,1.62123230380999e-20
0.1,0.0,-0.00120489720634943
0.1,0.05,-0.00113450419856529
0.1,0.1,-0.00106546798850768
0.1,0.15,-0.000997827849004847
0.1,0.2,-0.000931537117735788
0.1,0.25,-0.000866544377552347
0.1,0.3,-0.000802793581172357
0.1,0.35,-0.00074022420147272
0.1,0.4,-0.00067877140728478
0.1,0.45,-0.00061836626361117
0.1,0.5,-0.000558935954970798
0.1,0.55,-0.000500404030433562
0.1,0.6,-0.000442690668788471
0.1,0.65,-0.000385712962192937
0.1,0.7,-0.00032938521657516
0.1,0.75,-0.000273619267004052
0.1,0.8,-0.00021832480619977
0.1,0.85,-0.000163409724330146
0.1,0.9,-0.000108780458221386
0.1,0.95,-5.43423481025598e-5
0.1,1.0,1.1284212709877e-20
0.2,0.0,-0.00143861722333648
0.2,0.05,-0.00136047911453656
0.2,0.1,-0.00128315846009172
0.2,0.15,-0.00120671583514473
0.2,0.2,-0.00113111551997482
0.2,0.25,-0.00105631976751123
0.2,0.3,-0.000982288863801908
0.2,0.35,-0.000908981197194292
0.2,0.4,-0.000836353336952479
0.2,0.45,-0.000764360121040345
0.2,0.5,-0.000692954752680973
0.2,0.55,-0.000622088905240673
0.2,0.6,-0.000551712834933755
0.2,0.65,-0.000481775500796547
0.2,0.7,-0.000412224691335128
0.2,0.75,-0.000343007157210891
0.2,0.8,-0.000274068749291564
0.2,0.85,-0.000205354561362927
0.2,0.9,-0.00013680907676827
0.2,0.95,-6.83763182189211e-5
0.2,1.0,5.88285513261089e-21
