t*,z*,uz
1500.0075000375,0.0,-0.00249999999662225
1500.0075000375,0.05,-0.00237499999979901
1500.0075000375,0.1,-0.00224999999980966
1500.0075000375,0.15,-0.00212499999982024
1500.0075000375,0.2,-0.00199999999983082
1500.0075000375,0.25,-0.0018749999998414
1500.0075000375,0.3,-0.00174999999985197
1500.0075000375,0.35,-0.00162499999986255
1500.0075000375,0.4,-0.00149999999987312
1500.0075000375,0.45,-0.00137499999988369
1500.0075000375,0.5,-0.00124999999989427
1500.0075000375,0.55,-0.00112499999990484
1500.0075000375,0.6,-0.000999999999915414
1500.0075000375,0.65,-0.000874999999925987
1500.0075000375,0.7,-0.000749999999936561
1500.0075000375,0.75,-0.000624999999947134
1500.0075000375,0.8,-0.000499999999957707
1500.0075000375,0.85,-0.00037499999996828
1500.0075000375,0.9,-0.000249999999978853
1500.0075000375,0.95,-0.000124999999989427
1500.0075000375,1.0,-7.22376083181478e-26
