t*,z*,uz
1500.0075000375,0.0,-0.00130625028040858
1500.0075000375,0.01,-0.00129318777842262
1500.0075000375,0.02,-0.0012801252756106
1500.0075000375,0.03,-0.00126706277279819
1500.0075000375,0.04,-0.00125400026998572
1500.0075000375,0.05,-0.00124093776717324
1500.0075000375,0.06,-0.00122787526436076
1500.0075000375,0.07,-0.00121481276154828
1500.0075000375,0.08,-0.0012017502587358
1500.0075000375,0.09,-0.00118868775592333
1500.0075000375,0.1,-0.00117562525311086
1500.0075000375,0.11,-0.00116256275029839
1500.0075000375,0.12,-0.00114950024748593
1500.0075000375,0.13,-0.00113643774467347
1500.0075000375,0.14,-0.00112337524186102
1500.0075000375,0.15,-0.00111031273904857
1500.0075000375,0.16,-0.00109725023623612
1500.0075000375,0.17,-0.00108418773342368
1500.0075000375,0.18,-0.00107112523061124
1500.0075000375,0.19,-0.0010580627277988
1500.0075000375,0.2,-0.00104500022498637
1500.0075000375,0.21,-0.00103193772217395
1500.0075000375,0.22,-0.00101887521936152
1500.0075000375,0.23,-0.0010058127165491
1500.0075000375,0.24,-0.000992750213736685
1500.0075000375,0.25,-0.000979687710924271
1500.0075000375,0.26,-0.000966625208111862
1500.0075000375,0.27,-0.000953562705299455
1500.0075000375,0.28,-0.000940500202487053
1500.0075000375,0.29,-0.000927437699674653
1500.0075000375,0.3,-0.000914375196862257
1500.0075000375,0.31,-0.000901312694049864
1500.0075000375,0.32,-0.000888250191237474
1500.0075000375,0.33,-0.000875187688425088
1500.0075000375,0.34,-0.000862125185612705
1500.0075000375,0.35,-0.000849062682800325
1500.0075000375,0.36,-0.000836000179987947
1500.0075000375,0.37,-0.000822937677175573
1500.0075000375,0.38,-0.000809875174363202
1500.0075000375,0.39,-0.000796812671550834
1500.0075000375,0.4,-0.000783750168738468
1500.0075000375,0.41,-0.000770687665926106
1500.0075000375,0.42,-0.000757625163113746
1500.0075000375,0.43,-0.000744562660301389
1500.0075000375,0.44,-0.000731500157489034
1500.0075000375,0.45,-0.000718437654676682
1500.0075000375,0.46,-0.000705375151864333
1500.0075000375,0.47,-0.000692312649051986
1500.0075000375,0.48,-0.000679250146239642
1500.0075000375,0.49,-0.0006661876434273
1500.0075000375,0.5,-0.000653125140614961
1500.0075000375,0.51,-0.000640062637802624
1500.0075000375,0.52,-0.000627000134990289
1500.0075000375,0.53,-0.000613937632177956
1500.0075000375,0.54,-0.000600875129365626
1500.0075000375,0.55,-0.000587812626553298
1500.0075000375,0.56,-0.000574750123740971
1500.0075000375,0.57,-0.000561687620928648
1500.0075000375,0.58,-0.000548625118116326
1500.0075000375,0.59,-0.000535562615304005
1500.0075000375,0.6,-0.000522500112491687
1500.0075000375,0.61,-0.000509437609679371
1500.0075000375,0.62,-0.000496375106867057
1500.0075000375,0.63,-0.000483312604054744
1500.0075000375,0.64,-0.000470250101242433
1500.0075000375,0.65,-0.000457187598430124
1500.0075000375,0.66,-0.000444125095617816
1500.0075000375,0.67,-0.00043106259280551
1500.0075000375,0.68,-0.000418000089993206
1500.0075000375,0.69,-0.000404937587180903
1500.0075000375,0.7,-0.000391875084368601
1500.0075000375,0.71,-0.000378812581556301
1500.0075000375,0.72,-0.000365750078744003
1500.0075000375,0.73,-0.000352687575931705
1500.0075000375,0.74,-0.000339625073119409
1500.0075000375,0.75,-0.000326562570307114
1500.0075000375,0.76,-0.00031350006749482
1500.0075000375,0.77,-0.000300437564682528
1500.0075000375,0.78,-0.000287375061870236
1500.0075000375,0.79,-0.000274312559057946
1500.0075000375,0.8,-0.000261250056245656
1500.0075000375,0.81,-0.000248187553433368
1500.0075000375,0.82,-0.00023512505062108
1500.0075000375,0.83,-0.000222062547808793
1500.0075000375,0.84,-0.000209000044996507
1500.0075000375,0.85,-0.000195937542184222
1500.0075000375,0.86,-0.000182875039371937
1500.0075000375,0.87,-0.000169812536559653
1500.0075000375,0.88,-0.00015675003374737
1500.0075000375,0.89,-0.000143687530935087
1500.0075000375,0.9,-0.000130625028122805
1500.0075000375,0.91,-0.000117562525310523
1500.0075000375,0.92,-0.000104500022498241
1500.0075000375,0.93,-9.14375196859604e-5
1500.0075000375,0.94,-7.83750168736799e-5
1500.0075000375,0.95,-6.53125140613995e-5
1500.0075000375,0.96,-5.22500112491193e-5
1500.0075000375,0.97,-3.91875084368393e-5
1500.0075000375,0.98,-2.61250056245595e-5
1500.0075000375,0.99,-1.30625028122797e-5
1500.0075000375,1.0,-1.88712643056638e-26
