t*,z*,uz
1500.0075000375,0.0,-0.00124999999921124
1500.0075000375,0.05,-0.00118750000000265
1500.0075000375,0.1,-0.00112500000000253
1500.0075000375,0.15,-0.00106250000000239
1500.0075000375,0.2,-0.00100000000000225
1500.0075000375,0.25,-0.000937500000002108
1500.0075000375,0.3,-0.000875000000001968
1500.0075000375,0.35,-0.000812500000001828
1500.0075000375,0.4,-0.000750000000001687
1500.0075000375,0.45,-0.000687500000001547
1500.0075000375,0.5,-0.000625000000001406
1500.0075000375,0.55,-0.000562500000001265
1500.0075000375,0.6,-0.000500000000001125
1500.0075000375,0.65,-0.000437500000000984
1500.0075000375,0.7,-0.000375000000000844
1500.0075000375,0.75,-0.000312500000000703
1500.0075000375,0.8,-0.000250000000000562
1500.0075000375,0.85,-0.000187500000000422
1500.0075000375,0.9,-0.000125000000000281
1500.0075000375,0.95,-6.25000000001407e-5
1500.0075000375,1.0,-1.80594923970275e-26
