t*,z*,uz
1500.0075000375,0.0,-1778.79132617456
1500.0075000375,0.01,-1761.00341402223
1500.0075000375,0.02,-1743.21550074516
1500.0075000375,0.03,-1725.4275874677
1500.0075000375,0.04,-1707.6396741903
1500.0075000375,0.05,-1689.85176091303
1500.0075000375,0.06,-1672.06384763588
1500.0075000375,0.07,-1654.27593435887
1500.0075000375,0.08,-1636.48802108199
1500.0075000375,0.09,-1618.70010780525
1500.0075000375,0.1,-1600.91219452864
1500.0075000375,0.11,-1583.12428125216
1500.0075000375,0.12,-1565.33636797582
1500.0075000375,0.13,-1547.54845469961
1500.0075000375,0.14,-1529.76054142352
1500.0075000375,0.15,-1511.97262814757
1500.0075000375,0.16,-1494.18471487174
1500.0075000375,0.17,-1476.39680159603
1500.0075000375,0.18,-1458.60888832045
1500.0075000375,0.19,-1440.82097504498
1500.0075000375,0.2,-1423.03306176964
1500.0075000375,0.21,-1405.24514849442
1500.0075000375,0.22,-1387.45723521931
1500.0075000375,0.23,-1369.66932194432
1500.0075000375,0.24,-1351.88140866944
1500.0075000375,0.25,-1334.09349539468
1500.0075000375,0.26,-1316.30558212003
1500.0075000375,0.27,-1298.51766884548
1500.0075000375,0.28,-1280.72975557105
1500.0075000375,0.29,-1262.94184229672
1500.0075000375,0.3,-1245.1539290225
1500.0075000375,0.31,-1227.36601574838
1500.0075000375,0.32,-1209.57810247436
1500.0075000375,0.33,-1191.79018920044
1500.0075000375,0.34,-1174.00227592663
1500.0075000375,0.35,-1156.21436265291
1500.0075000375,0.36,-1138.42644937928
1500.0075000375,0.37,-1120.63853610576
1500.0075000375,0.38,-1102.85062283232
1500.0075000375,0.39,-1085.06270955898
1500.0075000375,0.4,-1067.27479628573
1500.0075000375,0.41,-1049.48688301256
1500.0075000375,0.42,-1031.69896973949
1500.0075000375,0.43,-1013.9110564665
1500.0075000375,0.44,-996.123143193593
1500.0075000375,0.45,-978.33522992077
1500.0075000375,0.46,-960.547316648029
1500.0075000375,0.47,-942.759403375368
1500.0075000375,0.48,-924.971490102786
1500.0075000375,0.49,-907.183576830281
1500.0075000375,0.5,-889.395663557851
1500.0075000375,0.51,-871.607750285496
1500.0075000375,0.52,-853.819837013213
1500.0075000375,0.53,-836.031923741001
1500.0075000375,0.54,-818.244010468859
1500.0075000375,0.55,-800.456097196785
1500.0075000375,0.56,-782.668183924778
1500.0075000375,0.57,-764.880270652836
1500.0075000375,0.58,-747.092357380958
1500.0075000375,0.59,-729.304444109142
1500.0075000375,0.6,-711.516530837387
1500.0075000375,0.61,-693.728617565691
1500.0075000375,0.62,-675.940704294053
1500.0075000375,0.63,-658.152791022472
1500.0075000375,0.64,-640.364877750945
1500.0075000375,0.65,-622.576964479471
1500.0075000375,0.66,-604.789051208049
1500.0075000375,0.67,-587.001137936678
1500.0075000375,0.68,-569.213224665356
1500.0075000375,0.69,-551.425311394081
1500.0075000375,0.7,-533.637398122852
1500.0075000375,0.71,-515.849484851668
1500.0075000375,0.72,-498.061571580526
1500.0075000375,0.73,-480.273658309426
1500.0075000375,0.74,-462.485745038366
1500.0075000375,0.75,-444.697831767345
1500.0075000375,0.76,-426.909918496361
1500.0075000375,0.77,-409.122005225412
1500.0075000375,0.78,-391.334091954497
1500.0075000375,0.79,-373.546178683615
1500.0075000375,0.8,-355.758265412764
1500.0075000375,0.81,-337.970352141943
1500.0075000375,0.82,-320.18243887115
1500.0075000375,0.83,-302.394525600384
1500.0075000375,0.84,-284.606612329642
1500.0075000375,0.85,-266.818699058925
1500.0075000375,0.86,-249.030785788229
1500.0075000375,0.87,-231.242872517555
1500.0075000375,0.88,-213.4549592469
1500.0075000375,0.89,-195.667045976262
1500.0075000375,0.9,-177.879132705641
1500.0075000375,0.91,-160.091219435035
1500.0075000375,0.92,-142.303306164442
1500.0075000375,0.93,-124.51539289386
1500.0075000375,0.94,-106.72747962329
1500.0075000375,0.95,-88.9395663527279
1500.0075000375,0.96,-71.1516530821734
1500.0075000375,0.97,-53.3637398116249
1500.0075000375,0.98,-35.5758265410808
1500.0075000375,0.99,-17.7879132705397
1500.0075000375,1.0,-2.56704997813442e-20
