t*,z*,uz
1500.0075000375,0.0,-0.00136250056160874
1500.0075000375,0.01,-0.00134887555684586
1500.0075000375,0.02,-0.00133525055122135
1500.0075000375,0.03,-0.00132162554559644
1500.0075000375,0.04,-0.00130800053997148
1500.0075000375,0.05,-0.00129437553434651
1500.0075000375,0.06,-0.00128075052872154
1500.0075000375,0.07,-0.00126712552309658
1500.0075000375,0.08,-0.00125350051747162
1500.0075000375,0.09,-0.00123987551184667
1500.0075000375,0.1,-0.00122625050622173
1500.0075000375,0.11,-0.00121262550059679
1500.0075000375,0.12,-0.00119900049497187
1500.0075000375,0.13,-0.00118537548934695
1500.0075000375,0.14,-0.00117175048372204
1500.0075000375,0.15,-0.00115812547809714
1500.0075000375,0.16,-0.00114450047247225
1500.0075000375,0.17,-0.00113087546684736
1500.0075000375,0.18,-0.00111725046122248
1500.0075000375,0.19,-0.00110362545559761
1500.0075000375,0.2,-0.00109000044997275
1500.0075000375,0.21,-0.00107637544434789
1500.0075000375,0.22,-0.00106275043872304
1500.0075000375,0.23,-0.0010491254330982
1500.0075000375,0.24,-0.00103550042747337
1500.0075000375,0.25,-0.00102187542184854
1500.0075000375,0.26,-0.00100825041622372
1500.0075000375,0.27,-0.000994625410598912
1500.0075000375,0.28,-0.000981000404974106
1500.0075000375,0.29,-0.000967375399349307
1500.0075000375,0.3,-0.000953750393724515
1500.0075000375,0.31,-0.000940125388099729
1500.0075000375,0.32,-0.00092650038247495
1500.0075000375,0.33,-0.000912875376850177
1500.0075000375,0.34,-0.00089925037122541
1500.0075000375,0.35,-0.00088562536560065
1500.0075000375,0.36,-0.000872000359975895
1500.0075000375,0.37,-0.000858375354351147
1500.0075000375,0.38,-0.000844750348726405
1500.0075000375,0.39,-0.000831125343101668
1500.0075000375,0.4,-0.000817500337476937
1500.0075000375,0.41,-0.000803875331852212
1500.0075000375,0.42,-0.000790250326227492
1500.0075000375,0.43,-0.000776625320602778
1500.0075000375,0.44,-0.000763000314978069
1500.0075000375,0.45,-0.000749375309353365
1500.0075000375,0.46,-0.000735750303728666
1500.0075000375,0.47,-0.000722125298103973
1500.0075000375,0.48,-0.000708500292479284
1500.0075000375,0.49,-0.0006948752868546
1500.0075000375,0.5,-0.000681250281229922
1500.0075000375,0.51,-0.000667625275605247
1500.0075000375,0.52,-0.000654000269980578
1500.0075000375,0.53,-0.000640375264355913
1500.0075000375,0.54,-0.000626750258731252
1500.0075000375,0.55,-0.000613125253106595
1500.0075000375,0.56,-0.000599500247481943
1500.0075000375,0.57,-0.000585875241857295
1500.0075000375,0.58,-0.000572250236232651
1500.0075000375,0.59,-0.000558625230608011
1500.0075000375,0.6,-0.000545000224983375
1500.0075000375,0.61,-0.000531375219358742
1500.0075000375,0.62,-0.000517750213734113
1500.0075000375,0.63,-0.000504125208109488
1500.0075000375,0.64,-0.000490500202484866
1500.0075000375,0.65,-0.000476875196860248
1500.0075000375,0.66,-0.000463250191235633
1500.0075000375,0.67,-0.000449625185611021
1500.0075000375,0.68,-0.000436000179986412
1500.0075000375,0.69,-0.000422375174361806
1500.0075000375,0.7,-0.000408750168737203
1500.0075000375,0.71,-0.000395125163112603
1500.0075000375,0.72,-0.000381500157488005
1500.0075000375,0.73,-0.000367875151863411
1500.0075000375,0.74,-0.000354250146238818
1500.0075000375,0.75,-0.000340625140614228
1500.0075000375,0.76,-0.000327000134989641
1500.0075000375,0.77,-0.000313375129365056
1500.0075000375,0.78,-0.000299750123740472
1500.0075000375,0.79,-0.000286125118115891
1500.0075000375,0.8,-0.000272500112491312
1500.0075000375,0.81,-0.000258875106866735
1500.0075000375,0.82,-0.00024525010124216
1500.0075000375,0.83,-0.000231625095617586
1500.0075000375,0.84,-0.000218000089993014
1500.0075000375,0.85,-0.000204375084368443
1500.0075000375,0.86,-0.000190750078743874
1500.0075000375,0.87,-0.000177125073119306
1500.0075000375,0.88,-0.000163500067494739
1500.0075000375,0.89,-0.000149875061870174
1500.0075000375,0.9,-0.000136250056245609
1500.0075000375,0.91,-0.000122625050621046
1500.0075000375,0.92,-0.000109000044996483
1500.0075000375,0.93,-9.53750393719209e-5
1500.0075000375,0.94,-8.17500337473597e-5
1500.0075000375,0.95,-6.81250281227989e-5
1500.0075000375,0.96,-5.45000224982385e-5
1500.0075000375,0.97,-4.08750168736786e-5
1500.0075000375,0.98,-2.72500112491189e-5
1500.0075000375,0.99,-1.36250056245594e-5
1500.0075000375,1.0,-1.96830362144118e-26
