t*,z*,p
1e-05,0.0,0.0
1e-05,0.05,6976.80487068012
1e-05,0.1,6976.80502902195
1e-05,0.15,6976.80502904721
1e-05,0.2,6976.80502905975
1e-05,0.25,6976.80502906721
1e-05,0.3,6976.80502907213
1e-05,0.35,6976.80502907559
1e-05,0.4,6976.80502907813
1e-05,0.45,6976.80502908007
1e-05,0.5,6976.80502908157
1e-05,0.55,6976.80502908276
1e-05,0.6,6976.8050290837
1e-05,0.65,6976.80502908446
1e-05,0.7,6976.80502908507
1e-05,0.75,6976.80502908554
1e-05,0.8,6976.80502908591
1e-05,0.85,6976.80502908619
1e-05,0.9,6976.80502908638
1e-05,0.95,6976.80502908651
1e-05,1.0,6976.80502908653
0.001,0.0,0.0
0.001,0.05,2960.8921493422
0.001,0.1,5143.38150832057
0.001,0.15,6330.09525972194
0.001,0.2,6805.94606113918
0.001,0.25,6946.61724853903
0.001,0.3,6977.26637255491
0.001,0.35,6982.18636858289
0.001,0.4,6982.76805380696
0.001,0.45,6982.81868542749
0.001,0.5,6982.82192878854
0.001,0.55,6982.8220816293
0.001,0.6,6982.82208692657
0.001,0.65,6982.82208706223
0.001,0.7,6982.82208706536
0.001,0.75,6982.82208706587
0.001,0.8,6982.82208706624
0.001,0.85,6982.82208706652
0.001,0.9,6982.82208706671
0.001,0.95,6982.82208706682
0.001,1.0,6982.82208706686
0.01,0.0,0.0
0.01,0.05,994.096902316846
0.01,0.1,1954.94156675455
0.01,0.15,2855.72951564274
0.01,0.2,3674.69230828919
0.01,0.25,4396.67353581405
0.01,0.3,5013.79409911082
0.01,0.35,5525.20364690447
0.01,0.4,5936.07117190308
0.01,0.45,6256.07378061894
0.01,0.5,6497.6821604982
0.01,0.55,6674.51675362543
0.01,0.6,6799.97766685825
0.01,0.65,6886.25896331611
0.01,0.7,6943.76854509429
0.01,0.75,6980.90585429588
0.01,0.8,7004.10904894906
0.01,0.85,7018.07025941565
0.01,0.9,7026.02517617492
0.01,0.95,7030.04244651817
0.01,1.0,7031.26085783956
0.05,0.0,0.0
0.05,0.05,467.688251214853
0.05,0.1,929.075141286857
0.05,0.15,1381.32157554948
0.05,0.2,1821.66990334394
0.05,0.25,2247.47878621849
0.05,0.3,2656.25398694163
0.05,0.35,3045.67406168533
0.05,0.4,3413.6102049407
0.05,0.45,3758.13980072795
0.05,0.5,4077.55355781338
0.05,0.55,4370.35643289363
0.05,0.6,4635.26285604505
0.05,0.65,4871.18705021647
0.05,0.7,5077.22946620991
0.05,0.75,5252.66052428241
0.05,0.8,5396.90295447022
0.05,0.85,5509.51405508588
0.05,0.9,5590.1691417228
0.05,0.95,5638.64734071562
0.05,1.0,5654.82069836057
0.1,0.0,0.0
0.1,0.05,304.375953071723
0.1,0.1,604.153934440146
0.1,0.15,897.822744377352
0.1,0.2,1183.8935589988
0.1,0.25,1460.908891744
0.1,0.3,1727.45134392081
0.1,0.35,1982.1520808596
0.1,0.4,2223.69897494735
0.1,0.45,2450.84436193504
0.1,0.5,2662.41236259244
0.1,0.55,2857.30572779271
0.1,0.6,3034.51217121984
0.1,0.65,3193.11015989268
0.1,0.7,3332.27413839157
0.1,0.75,3451.27916789274
0.1,0.8,3549.50496573104
0.1,0.85,3626.43933513792
0.1,0.9,3681.68097799965
0.1,0.95,3714.94168596033
0.1,1.0,3726.04790701117
0.2,0.0,0.0
0.2,0.05,145.548362194558
0.2,0.1,288.003367635091
0.2,0.15,426.762724394613
0.2,0.2,561.234161852822
0.2,0.25,690.838732005647
0.2,0.3,815.014046313642
0.2,0.35,933.217428315786
0.2,0.4,1044.92896300177
0.2,0.45,1149.65442453737
0.2,0.5,1246.92806466213
0.2,0.55,1336.31524491218
0.2,0.6,1417.41489675896
0.2,0.65,1489.86179478913
0.2,0.7,1553.32862917795
0.2,0.75,1607.52786491856
0.2,0.8,1652.21337655744
0.2,0.85,1687.18184854297
0.2,0.9,1712.27393271086
0.2,0.95,1727.37515589969
0.2,1.0,1732.4165722017
