name,path,P0,Delta_P,T,tr,run_time,spinup_time,output_dt,cycles,nested,sawtooth,inv_sawtooth,tc,t_som,som_mag,Delta_v,notes
Sawtooth_Pres18,TimeDependentPressure/Sawtooth_Pres18/2MPa,2000000,500000,200.0,1.0,1000.0,500,0.1,2,1,0,1,7.59767079700252,148 118,0.2 0.2,10.5907421488622,
Sawtooth_Pres18_run2,TimeDependentPressure/Sawtooth_Pres18/1_5MPa,1500000,375000,200.0,1.0,1000.0,500,0.1,2,1,0,1,7.59333056543137,148 117,0.21 0.14,7.9049831337196,
GPS_Pres4,"""TimeDependentPressure/GPS_Pres5/250KPa""",250000,125000,10.0,1.0,270.0,150,0.1,2,0,0,0,,,,,
GPS_Pres4,TimeDependentPressure/GPS_Pres4/250KPa,250000,125000,5.0,1.0,260.0,150,0.1,2,0,0,0,,,,,
GPS_Pres5,TimeDependentPressure/GPS_Pres5/250KPa,250000,125000,10.0,1.0,270.0,150,0.1,2,0,0,0,,,,,
GPS_Pres6,TimeDependentPressure/GPS_Pres6/250KPa,250000,125000,5.0,10.0,410.0,200,0.1,2,0,0,0,,,,,
GPS_Pres7,TimeDependentPressure/GPS_Pres7/250KPa,250000,125000,20.0,1.0,290.0,150,0.1,2,0,0,0,,,,,
GPS_Pres8,TimeDependentPressure/GPS_Pres8/250KPa,250000,125000,20.0,10.0,440.0,200,0.1,2,0,0,0,,,,,
GPS_Pres11,TimeDependentPressure/GPS_Pres11/250KPa,250000,125000,500.0,1.0,1250.0,150,0.1,2,0,0,0,,,,,
GPS_Pres11_run4,TimeDependentPressure/GPS_Pres11/1MPa/long_spinup,1000000,500000,500.0,1.0,1600.0,500,0.1,2,0,0,0,,,,,
GPS_Pres11_run5,TimeDependentPressure/GPS_Pres11/1MPa/long_spinup,1000000,500000,500.0,10.0,1600.0,500,0.1,2,0,0,0,,,,,
GPS_Pres11_run6,TimeDependentPressure/GPS_Pres11/250KPa/long_spinup,250000,125000,500.0,10.0,1600.0,500,0.1,2,0,0,0,,,,,
GPS_Pres12,TimeDependentPressure/GPS_Pres12/250KPa,250000,125000,15.0,1.0,280.0,150,0.1,2,0,0,0,,,,,
GPS_Pres13,TimeDependentPressure/GPS_Pres13/250KPa,250000,125000,30.0,1.0,310.0,150,0.1,2,0,0,0,,,,,
GPS_Pres14,TimeDependentPressure/GPS_Pres14/250KPa,250000,125000,15.0,10.0,330.0,200,0.1,2,0,0,0,,,,,
GPS_Pres15,TimeDependentPressure/GPS_Pres15/250KPa,250000,125000,30.0,10.0,360.0,200,0.1,2,0,0,0,,,,,
GPS_Pres17,TimeDependentPressure/GPS_Pres17/250KPa,250000,125000,25.0,10.0,350.0,200,0.1,2,0,0,0,,,,,
GPS_Pres18,TimeDependentPressure/GPS_Pres18/250KPa,250000,125000,35.0,10.0,370.0,200,0.1,2,0,0,0,,,,,
GPS_Pres19,TimeDependentPressure/GPS_Pres19/250KPa,250000,125000,100.0,1.0,450.0,150,0.1,2,0,0,0,,,,,
GPS_Pres19_run2,TimeDependentPressure/GPS_Pres19/250KPa,250000,125000,100.0,10.0,800.0,500,0.1,2,0,0,0,,,,,
GPS_Pres24,TimeDependentPressure/GPS_Pres24/1MPa,1000000,500000,1000.0,1.0,2600.0,500,0.1,2,0,0,0,,,,,
GPS_Pres25,TimeDependentPressure/GPS_Pres25/1MPa,1000000,500000,250.0,1.0,1100.0,500,0.1,2,0,0,0,,,,,
GPS_Pres31,TimeDependentPressure/GPS_Pres31/250KPa,250000,125000,125.0,1.0,850.0,500,0.1,2,0,0,0,,,,,
GPS_Pres31_run2,TimeDependentPressure/GPS_Pres31/250KPa,250000,125000,125.0,10.0,850.0,500,0.1,2,0,0,0,,,,,
GPS_Pres32,TimeDependentPressure/GPS_Pres32/250KPa,250000,125000,250.0,1.0,1100.0,500,0.1,2,0,0,0,,,,,
GPS_Pres32_run2,TimeDependentPressure/GPS_Pres32/250KPa,250000,125000,250.0,10.0,1100.0,500,0.1,2,0,0,0,,,,,
GPS_Pres33,TimeDependentPressure/GPS_Pres33/1MPa,1000000,500000,1000.0,10.0,2600.0,500,0.1,2,0,0,0,,,,,
GPS_Pres34,TimeDependentPressure/GPS_Pres34/1MPa,1000000,500000,100.0,1.0,800.0,500,0.1,2,0,0,0,,,,,
GPS_Pres34_run2,TimeDependentPressure/GPS_Pres34/1MPa,1000000,500000,100.0,10.0,800.0,500,0.1,2,0,0,0,,,,,
GPS_Pres35,TimeDependentPressure/GPS_Pres35/1MPa,1000000,500000,350.0,10.0,1300.0,500,0.1,2,0,0,0,,,,,
GPS_Pres36,TimeDependentPressure/GPS_Pres36/250KPa,250000,125000,1250.0,1.0,3100.0,500,0.1,2,0,0,0,,,,,
GPS_Pres36_run2,TimeDependentPressure/GPS_Pres36/250KPa,250000,125000,1250.0,10.0,3100.0,500,0.1,2,0,0,0,,,,,
GPS_Pres37,TimeDependentPressure/GPS_Pres37/1MPa,1000000,500000,50.0,1.0,700.0,500,0.1,2,0,0,0,,,,,
GPS_Pres37_run2,TimeDependentPressure/GPS_Pres37/1MPa,1000000,500000,50.0,10.0,700.0,500,0.1,2,0,0,0,,,,,
GPS_Pres39,TimeDependentPressure/GPS_Pres39/250KPa,250000,125000,1660.0,1.0,3920.0,500,0.1,2,0,0,0,,,,,
GPS_Pres40,TimeDependentPressure/GPS_Pres40/1MPa,1000000,500000,420.0,10.0,1440.0,500,0.1,2,0,0,0,,,,,
GPS_Pres41,TimeDependentPressure/GPS_Pres41/1MPa,1000000,500000,200.0,10.0,1000.0,500,0.1,2,0,0,0,,,,,
GPS_Pres42,TimeDependentPressure/GPS_Pres42/250KPa,250000,125000,100.0,0.1,500.0,200,0.0199,2,0,0,0,,,,,
GPS_Pres42_run3,TimeDependentPressure/GPS_Pres42/1MPa,1000000,500000,100.0,0.1,500.0,200,0.0199,2,0,0,0,,,,,
GPS_Pres47,TimeDependentPressure/GPS_Pres47/250KPa,250000,125000,250.0,0.1,800.0,200,0.0199,2,0,0,0,,,,,
GPS_Pres47_run2,TimeDependentPressure/GPS_Pres47/1MPa,1000000,500000,250.0,0.1,800.0,200,0.0199,2,0,0,0,,,,,
GPS_Pres48,TimeDependentPressure/GPS_Pres48/250KPa,250000,125000,500.0,0.1,1300.0,200,0.0199,2,0,0,0,,,,,
GPS_Pres48_run2,TimeDependentPressure/GPS_Pres48/1MPa,1000000,500000,500.0,0.1,1300.0,200,0.0199,2,0,0,0,,,,,
GPS_Pres49,TimeDependentPressure/GPS_Pres49/250KPa,250000,125000,15.0,0.1,330.0,200,0.0199,2,0,0,0,,,,,
GPS_Pres49_run2,TimeDependentPressure/GPS_Pres49/1MPa,1000000,500000,15.0,0.1,330.0,200,0.0199,2,0,0,0,,,,,
GPS_Pres50,TimeDependentPressure/GPS_Pres50/250KPa,250000,125000,5.0,0.1,310.0,200,0.0199,2,0,0,0,,,,,
GPS_Pres50_run2,TimeDependentPressure/GPS_Pres50/1MPa,1000000,500000,5.0,0.1,310.0,200,0.0199,2,0,0,0,,,,,
GPS_Pres51,TimeDependentPressure/GPS_Pres51/250KPa,250000,125000,1000.0,0.1,2300.0,200,0.0199,2,0,0,0,,,,,
GPS_Pres51_run2,TimeDependentPressure/GPS_Pres51/1MPa,1000000,500000,1000.0,0.1,2300.0,200,0.0199,2,0,0,0,,,,,
GPS_Pres52,TimeDependentPressure/GPS_Pres52/250KPa,250000,125000,5000.0,1.0,10600.0,500,0.1,2,0,0,0,,,,,
GPS_Pres52_run2,TimeDependentPressure/GPS_Pres52/1MPa,1000000,500000,5000.0,1.0,10600.0,500,0.1,2,0,0,0,,,,,
GPS_Pres56,TimeDependentPressure/GPS_Pres56/1MPa,1000000,100000,1000.0,1.0,2600.0,500,0.1,2,0,0,0,,,,,
GPS_Pres57,TimeDependentPressure/GPS_Pres57/1MPa,1000000,250000,1000.0,1.0,2600.0,500,0.1,2,0,0,0,,,,,
GPS_Pres97,TimeDependentPressure/GPS_Pres97/250KPa,250000,125000,100.0,10.0,1300.0,1000,1.5 0.1,2,0,0,0,,,,,
GPS_Pres97_run2,TimeDependentPressure/GPS_Pres97/1MPa,1000000,500000,100.0,10.0,1300.0,1000,1.5 0.1,2,0,0,0,,,,,
GPS_Pres98,TimeDependentPressure/GPS_Pres98/250KPa,250000,125000,200.0,10.0,1500.0,1000,1.5 0.1,2,0,0,0,,,,,
GPS_Pres98_run2,TimeDependentPressure/GPS_Pres98/1MPa,1000000,500000,200.0,10.0,1500.0,1000,1.5 0.1,2,0,0,0,,,,,
GPS_Pres99,TimeDependentPressure/GPS_Pres99/250KPa,250000,125000,500.0,10.0,2100.0,1000,1.5 0.1,2,0,0,0,,,,,
GPS_Pres99_run2,TimeDependentPressure/GPS_Pres99/1MPa,1000000,500000,500.0,10.0,2100.0,1000,1.5 0.1,2,0,0,0,,,,,
GPS_Pres100,TimeDependentPressure/GPS_Pres100/250KPa,250000,125000,1000.0,10.0,3100.0,1000,1.5 0.1,2,0,0,0,,,,,
GPS_Pres100_run2,TimeDependentPressure/GPS_Pres100/1MPa,1000000,500000,1000.0,10.0,3100.0,1000,1.5 0.1,2,0,0,0,,,,,
GPS_Pres101,TimeDependentPressure/GPS_Pres101/1MPa,1000000,250000,200.0,10.0,1500.0,1000,1.5 0.1,2,0,0,0,,,,,
GPS_Pres64,TimeDependentPressure/GPS_Pres64/1MPa,1000000,500000,200.0,1.0,1000.0,500,0.1,2,0,0,0,3.17796543405978,98 94,0.09784447822409496 0.1087951500257504,9.18703241303163,
GPS_Pres64_run2,TimeDependentPressure/GPS_Pres64/250KPa,250000,125000,200.0,38.7136,1000.0,500,0.1,2,0,0,0,,,,,
GPS_Pres69,TimeDependentPressure/GPS_Pres69/1MPa,1000000,125000,200.0,38.7136,1000.0,500,0.1,2,1,0,0,,,,,
GPS_Pres85,TimeDependentPressure/GPS_Pres85/250KPa,250000,125000,500.0,38.7136,1600.0,500,0.1,2,1,0,0,,,,,
GPS_Pres85_run2,TimeDependentPressure/GPS_Pres85/1MPa,1000000,500000,500.0,38.7136,1600.0,500,0.1,2,1,0,0,,,,,
GPS_Pres86,TimeDependentPressure/GPS_Pres86/250KPa,250000,125000,750.0,38.7136,2100.0,500,0.1,2,1,0,0,,,,,
GPS_Pres86_run2,TimeDependentPressure/GPS_Pres86/1MPa,1000000,500000,750.0,38.7136,2100.0,500,0.1,2,1,0,0,,,,,
GPS_Pres87,TimeDependentPressure/GPS_Pres87/250KPa,250000,125000,1000.0,38.7136,2600.0,500,0.1,2,1,0,0,,,,,
GPS_Pres87_run2,TimeDependentPressure/GPS_Pres87/1MPa,1000000,500000,1000.0,38.7136,2600.0,500,0.1,2,1,0,0,,,,,
GPS_Pres110,TimeDependentPressure/GPS_Pres110/250KPa,250000,125000,75.0,38.7136,750.0,500,0.1,2,1,0,0,,,,,
GPS_Pres110_run2,TimeDependentPressure/GPS_Pres110/1MPa,1000000,500000,75.0,38.7136,750.0,500,0.1,2,1,0,0,,,,,
Sawtooth_Pres10,TimeDependentPressure/Sawtooth_Pres10/250KPa,250000,62500,100.0,1.0,800.0,500,0.1,2,0,0,1,,,,,
Sawtooth_Pres10_run2,TimeDependentPressure/Sawtooth_Pres10/1MPa,1000000,250000,100.0,1.0,800.0,500,0.1,2,0,0,1,,,,,
Sawtooth_Pres11,TimeDependentPressure/Sawtooth_Pres11/250KPa,250000,62500,200.0,1.0,1000.0,500,0.1,2,0,0,1,,,,,
Sawtooth_Pres11_run2,TimeDependentPressure/Sawtooth_Pres11/1MPa,1000000,250000,200.0,1.0,1000.0,500,0.1,2,0,0,1,,,,,
Sawtooth_Pres12,TimeDependentPressure/Sawtooth_Pres12/250KPa,250000,62500,500.0,1.0,1600.0,500,0.1,2,0,0,1,,,,,
Sawtooth_Pres12_run2,TimeDependentPressure/Sawtooth_Pres12/1MPa,1000000,250000,500.0,1.0,1600.0,500,0.1,2,0,0,1,,,,,
Sawtooth_Pres13,TimeDependentPressure/Sawtooth_Pres13/250KPa,250000,62500,1000.0,1.0,2600.0,500,0.1,2,0,0,1,,,,,
Sawtooth_Pres13_run2,TimeDependentPressure/Sawtooth_Pres13/1MPa,1000000,250000,1000.0,1.0,2600.0,500,0.1,2,0,0,1,,,,,
Sawtooth_Pres14,TimeDependentPressure/Sawtooth_Pres14/250KPa,250000,62500,100.0,38.7136,800.0,500,0.1,2,1,0,1,,,,,
Sawtooth_Pres14_run2,TimeDependentPressure/Sawtooth_Pres14/1MPa,1000000,250000,100.0,38.7136,800.0,500,0.1,2,1,0,1,,,,,
Sawtooth_Pres15,TimeDependentPressure/Sawtooth_Pres15/250KPa,250000,62500,200.0,38.7136,1000.0,500,0.1,2,1,0,1,,,,,
Sawtooth_Pres15_run2,TimeDependentPressure/Sawtooth_Pres15/1MPa,1000000,250000,200.0,38.7136,1000.0,500,0.1,2,1,0,1,,,,,
Sawtooth_Pres16,TimeDependentPressure/Sawtooth_Pres16/250KPa,250000,62500,500.0,38.7136,1600.0,500,0.1,2,1,0,1,,,,,
Sawtooth_Pres16_run2,TimeDependentPressure/Sawtooth_Pres16/1MPa,1000000,250000,500.0,38.7136,1600.0,500,0.1,2,1,0,1,,,,,
GPS_Pres105,TimeDependentPressure/GPS_Pres105/250KPa,250000,125000,100.0,8.714,800.0,500,0.1,2,0,0,0,,,,,
GPS_Pres105_run2,TimeDependentPressure/GPS_Pres105/1MPa,1000000,500000,100.0,8.714,800.0,500,0.1,2,0,0,0,,,,,
GPS_Pres106,TimeDependentPressure/GPS_Pres106/250KPa,250000,125000,200.0,8.714,1000.0,500,0.1,2,0,0,0,,,,,
GPS_Pres106_run2,TimeDependentPressure/GPS_Pres106/1MPa,1000000,500000,200.0,8.714,1000.0,500,0.1,2,0,0,0,,,,,
GPS_Pres107,TimeDependentPressure/GPS_Pres107/250KPa,250000,125000,500.0,8.714,1600.0,500,0.1,2,0,0,0,,,,,
GPS_Pres107_run2,TimeDependentPressure/GPS_Pres107/1MPa,1000000,500000,500.0,8.714,1600.0,500,0.1,2,0,0,0,,,,,
GPS_Pres109,TimeDependentPressure/GPS_Pres109/1MPa,1000000,500000,15.0,8.714,630.0,500,0.1,2,0,0,0,,,,,
GPS_Pres109_run2,TimeDependentPressure/GPS_Pres109/250KPa,250000,125000,15.0,8.714,630.0,500,0.1,2,0,0,0,,,,,
GPS_Pres111,TimeDependentPressure/GPS_Pres111/250KPa,250000,125000,35.0,8.714,670.0,500,0.1,2,0,0,0,,,,,
